,training_set,test_set,feature_set,feature_type,model_type,accuracy
139,neutral,sadness,sadness,distance,GaussianNB,31.223880597014926
140,neutral,sadness,neutral_sadness,distance,GaussianNB,42.388059701492544
141,sadness,neutral,neutral,distance,GaussianNB,34.149253731343286
142,sadness,neutral,sadness,distance,GaussianNB,27.52238805970149
143,sadness,neutral,neutral_sadness,distance,GaussianNB,35.223880597014926
144,sadness,sadness,neutral,distance,GaussianNB,75.82089552238806
145,sadness,sadness,sadness,distance,GaussianNB,74.44776119402985
146,sadness,sadness,neutral_sadness,distance,GaussianNB,77.49253731343285
147,neutral_sadness,neutral_sadness,neutral,distance,GaussianNB,94.86567164179105
148,neutral_sadness,neutral_sadness,sadness,distance,GaussianNB,92.77611940298506
149,neutral_sadness,neutral_sadness,neutral_sadness,distance,GaussianNB,96.11940298507463
150,neutral,neutral,neutral,distance,AdaBoostClassifier,41.373134328358205
151,neutral,neutral,sadness,distance,AdaBoostClassifier,27.641791044776117
152,neutral,neutral,neutral_sadness,distance,AdaBoostClassifier,40.83582089552239
153,neutral,sadness,neutral,distance,AdaBoostClassifier,31.402985074626866
154,neutral,sadness,sadness,distance,AdaBoostClassifier,20.0
155,neutral,sadness,neutral_sadness,distance,AdaBoostClassifier,31.044776119402982
156,sadness,neutral,neutral,distance,AdaBoostClassifier,26.029850746268657
157,sadness,neutral,sadness,distance,AdaBoostClassifier,22.985074626865668
158,sadness,neutral,neutral_sadness,distance,AdaBoostClassifier,30.26865671641791
159,sadness,sadness,neutral,distance,AdaBoostClassifier,47.88059701492537
160,sadness,sadness,sadness,distance,AdaBoostClassifier,50.2686567164179
161,sadness,sadness,neutral_sadness,distance,AdaBoostClassifier,56.65671641791046
162,neutral_sadness,neutral_sadness,neutral,distance,AdaBoostClassifier,21.7910447761194
163,neutral_sadness,neutral_sadness,sadness,distance,AdaBoostClassifier,5.343283582089551
164,neutral_sadness,neutral_sadness,neutral_sadness,distance,AdaBoostClassifier,21.73134328358209
165,neutral,neutral,neutral,distance,BaggingClassifier,89.19402985074626
166,neutral,neutral,sadness,distance,BaggingClassifier,85.25373134328359
167,neutral,neutral,neutral_sadness,distance,BaggingClassifier,89.85074626865672
168,neutral,sadness,neutral,distance,BaggingClassifier,65.85074626865672
169,neutral,sadness,sadness,distance,BaggingClassifier,55.343283582089555
170,neutral,sadness,neutral_sadness,distance,BaggingClassifier,63.40298507462686
171,sadness,neutral,neutral,distance,BaggingClassifier,56.71641791044777
172,sadness,neutral,sadness,distance,BaggingClassifier,46.74626865671642
173,sadness,neutral,neutral_sadness,distance,BaggingClassifier,54.208955223880594
174,sadness,sadness,neutral,distance,BaggingClassifier,92.83582089552239
175,sadness,sadness,sadness,distance,BaggingClassifier,89.73134328358209
176,sadness,sadness,neutral_sadness,distance,BaggingClassifier,92.11940298507464
177,neutral_sadness,neutral_sadness,neutral,distance,BaggingClassifier,95.40298507462687
178,neutral_sadness,neutral_sadness,sadness,distance,BaggingClassifier,92.41791044776119
179,neutral_sadness,neutral_sadness,neutral_sadness,distance,BaggingClassifier,95.37313432835819
180,neutral,neutral,neutral,distance,RandomForestClassifier,94.74626865671641
181,neutral,neutral,sadness,distance,RandomForestClassifier,93.01492537313433
182,neutral,neutral,neutral_sadness,distance,RandomForestClassifier,97.01492537313433
183,neutral,sadness,neutral,distance,RandomForestClassifier,82.08955223880598
184,neutral,sadness,sadness,distance,RandomForestClassifier,72.41791044776119
185,neutral,sadness,neutral_sadness,distance,RandomForestClassifier,82.98507462686567
186,sadness,neutral,neutral,distance,RandomForestClassifier,73.61194029850746
187,sadness,neutral,sadness,distance,RandomForestClassifier,66.2089552238806
188,sadness,neutral,neutral_sadness,distance,RandomForestClassifier,75.16417910447761
189,sadness,sadness,neutral,distance,RandomForestClassifier,98.26865671641791
190,sadness,sadness,sadness,distance,RandomForestClassifier,97.31343283582089
191,sadness,sadness,neutral_sadness,distance,RandomForestClassifier,98.74626865671641
192,neutral_sadness,neutral_sadness,neutral,distance,RandomForestClassifier,98.23880597014927
