,training_set,test_set,feature_set,feature_type,model_type,accuracy
118,neutral_anger,neutral_anger,anger,distance,KNeighborsClassifier,71.68965517241378
119,neutral_anger,neutral_anger,neutral_anger,distance,KNeighborsClassifier,80.06896551724137
120,neutral,neutral,neutral,distance,GaussianProcessClassifier,96.48275862068967
121,neutral,neutral,anger,distance,GaussianProcessClassifier,87.3103448275862
122,neutral,neutral,neutral_anger,distance,GaussianProcessClassifier,93.44827586206897
123,neutral,anger,neutral,distance,GaussianProcessClassifier,76.3448275862069
124,neutral,anger,anger,distance,GaussianProcessClassifier,52.482758620689665
125,neutral,anger,neutral_anger,distance,GaussianProcessClassifier,70.13793103448276
126,anger,neutral,neutral,distance,GaussianProcessClassifier,70.55172413793102
127,anger,neutral,anger,distance,GaussianProcessClassifier,46.20689655172414
128,anger,neutral,neutral_anger,distance,GaussianProcessClassifier,61.86206896551724
129,anger,anger,neutral,distance,GaussianProcessClassifier,99.37931034482759
130,anger,anger,anger,distance,GaussianProcessClassifier,95.17241379310344
131,anger,anger,neutral_anger,distance,GaussianProcessClassifier,98.34482758620689
132,neutral_anger,neutral_anger,neutral,distance,GaussianProcessClassifier,98.06896551724138
133,neutral_anger,neutral_anger,anger,distance,GaussianProcessClassifier,93.17241379310346
134,neutral_anger,neutral_anger,neutral_anger,distance,GaussianProcessClassifier,97.75862068965517
135,neutral,neutral,neutral,distance,GaussianNB,75.24137931034483
136,neutral,neutral,anger,distance,GaussianNB,67.58620689655173
137,neutral,neutral,neutral_anger,distance,GaussianNB,72.20689655172414
138,neutral,anger,neutral,distance,GaussianNB,34.06896551724138
139,neutral,anger,anger,distance,GaussianNB,23.379310344827587
140,neutral,anger,neutral_anger,distance,GaussianNB,27.93103448275862
141,anger,neutral,neutral,distance,GaussianNB,30.137931034482758
142,anger,neutral,anger,distance,GaussianNB,17.79310344827586
143,anger,neutral,neutral_anger,distance,GaussianNB,26.206896551724135
144,anger,anger,neutral,distance,GaussianNB,77.79310344827586
145,anger,anger,anger,distance,GaussianNB,71.58620689655173
146,anger,anger,neutral_anger,distance,GaussianNB,78.82758620689656
147,neutral_anger,neutral_anger,neutral,distance,GaussianNB,94.58620689655173
148,neutral_anger,neutral_anger,anger,distance,GaussianNB,89.0
149,neutral_anger,neutral_anger,neutral_anger,distance,GaussianNB,94.27586206896552
150,neutral,neutral,neutral,distance,AdaBoostClassifier,42.75862068965517
151,neutral,neutral,anger,distance,AdaBoostClassifier,24.551724137931032
152,neutral,neutral,neutral_anger,distance,AdaBoostClassifier,35.93103448275862
153,neutral,anger,neutral,distance,AdaBoostClassifier,30.41379310344827
154,neutral,anger,anger,distance,AdaBoostClassifier,13.10344827586207
155,neutral,anger,neutral_anger,distance,AdaBoostClassifier,23.586206896551726
156,anger,neutral,neutral,distance,AdaBoostClassifier,21.379310344827584
157,anger,neutral,anger,distance,AdaBoostClassifier,10.551724137931034
158,anger,neutral,neutral_anger,distance,AdaBoostClassifier,18.068965517241377
159,anger,anger,neutral,distance,AdaBoostClassifier,48.13793103448276
160,anger,anger,anger,distance,AdaBoostClassifier,32.0
161,anger,anger,neutral_anger,distance,AdaBoostClassifier,42.758620689655174
162,neutral_anger,neutral_anger,neutral,distance,AdaBoostClassifier,11.206896551724137
163,neutral_anger,neutral_anger,anger,distance,AdaBoostClassifier,5.793103448275862
164,neutral_anger,neutral_anger,neutral_anger,distance,AdaBoostClassifier,11.689655172413794
165,neutral,neutral,neutral,distance,BaggingClassifier,87.51724137931033
166,neutral,neutral,anger,distance,BaggingClassifier,76.48275862068965
167,neutral,neutral,neutral_anger,distance,BaggingClassifier,83.24137931034484
168,neutral,anger,neutral,distance,BaggingClassifier,52.82758620689656
169,neutral,anger,anger,distance,BaggingClassifier,31.24137931034483
170,neutral,anger,neutral_anger,distance,BaggingClassifier,46.89655172413793
171,anger,neutral,neutral,distance,BaggingClassifier,48.689655172413794
172,anger,neutral,anger,distance,BaggingClassifier,27.448275862068964
173,anger,neutral,neutral_anger,distance,BaggingClassifier,40.96551724137931
174,anger,anger,neutral,distance,BaggingClassifier,90.55172413793105
175,anger,anger,anger,distance,BaggingClassifier,82.82758620689656
176,anger,anger,neutral_anger,distance,BaggingClassifier,89.3103448275862
177,neutral_anger,neutral_anger,neutral,distance,BaggingClassifier,94.65517241379311
178,neutral_anger,neutral_anger,anger,distance,BaggingClassifier,87.9655172413793
179,neutral_anger,neutral_anger,neutral_anger,distance,BaggingClassifier,93.41379310344828
180,neutral,neutral,neutral,distance,RandomForestClassifier,95.93103448275863
181,neutral,neutral,anger,distance,RandomForestClassifier,86.48275862068965
182,neutral,neutral,neutral_anger,distance,RandomForestClassifier,93.37931034482759
183,neutral,anger,neutral,distance,RandomForestClassifier,70.13793103448276
184,neutral,anger,anger,distance,RandomForestClassifier,43.44827586206897
185,neutral,anger,neutral_anger,distance,RandomForestClassifier,62.89655172413793
186,anger,neutral,neutral,distance,RandomForestClassifier,65.24137931034483
187,anger,neutral,anger,distance,RandomForestClassifier,41.103448275862064
188,anger,neutral,neutral_anger,distance,RandomForestClassifier,58.34482758620689
189,anger,anger,neutral,distance,RandomForestClassifier,98.48275862068967
190,anger,anger,anger,distance,RandomForestClassifier,92.82758620689656
191,anger,anger,neutral_anger,distance,RandomForestClassifier,96.82758620689654
192,neutral_anger,neutral_anger,neutral,distance,RandomForestClassifier,97.93103448275863
193,neutral_anger,neutral_anger,anger,distance,RandomForestClassifier,94.48275862068967
194,neutral_anger,neutral_anger,neutral_anger,distance,RandomForestClassifier,97.6896551724138
195,neutral,neutral,neutral,distance,GradientBoostingClassifier,66.0
196,neutral,neutral,anger,distance,GradientBoostingClassifier,57.793103448275865
197,neutral,neutral,neutral_anger,distance,GradientBoostingClassifier,64.48275862068965
198,neutral,anger,neutral,distance,GradientBoostingClassifier,34.48275862068965
199,neutral,anger,anger,distance,GradientBoostingClassifier,21.862068965517242
200,neutral,anger,neutral_anger,distance,GradientBoostingClassifier,34.275862068965516
201,anger,neutral,neutral,distance,GradientBoostingClassifier,25.931034482758626
202,anger,neutral,anger,distance,GradientBoostingClassifier,17.379310344827587
203,anger,neutral,neutral_anger,distance,GradientBoostingClassifier,26.137931034482758
204,anger,anger,neutral,distance,GradientBoostingClassifier,68.0
