,training_set,test_set,feature_set,feature_type,model_type,accuracy
117,neutral_sadness,neutral_sadness,neutral,distance,KNeighborsClassifier,88.07272727272728
118,neutral_sadness,neutral_sadness,sadness,distance,KNeighborsClassifier,85.81818181818181
119,neutral_sadness,neutral_sadness,neutral_sadness,distance,KNeighborsClassifier,92.50909090909092
120,neutral,neutral,neutral,distance,GaussianProcessClassifier,96.43636363636364
121,neutral,neutral,sadness,distance,GaussianProcessClassifier,95.05454545454545
122,neutral,neutral,neutral_sadness,distance,GaussianProcessClassifier,97.96363636363635
123,neutral,sadness,neutral,distance,GaussianProcessClassifier,84.65454545454546
124,neutral,sadness,sadness,distance,GaussianProcessClassifier,83.2
125,neutral,sadness,neutral_sadness,distance,GaussianProcessClassifier,92.8
126,sadness,neutral,neutral,distance,GaussianProcessClassifier,77.23636363636363
127,sadness,neutral,sadness,distance,GaussianProcessClassifier,74.61818181818181
128,sadness,neutral,neutral_sadness,distance,GaussianProcessClassifier,84.21818181818182
129,sadness,sadness,neutral,distance,GaussianProcessClassifier,99.12727272727273
130,sadness,sadness,sadness,distance,GaussianProcessClassifier,99.27272727272728
131,sadness,sadness,neutral_sadness,distance,GaussianProcessClassifier,100.0
132,neutral_sadness,neutral_sadness,neutral,distance,GaussianProcessClassifier,97.81818181818183
133,neutral_sadness,neutral_sadness,sadness,distance,GaussianProcessClassifier,97.56363636363636
134,neutral_sadness,neutral_sadness,neutral_sadness,distance,GaussianProcessClassifier,99.27272727272728
135,neutral,neutral,neutral,distance,GaussianNB,78.98181818181817
136,neutral,neutral,sadness,distance,GaussianNB,69.38181818181818
137,neutral,neutral,neutral_sadness,distance,GaussianNB,78.32727272727273
138,neutral,sadness,neutral,distance,GaussianNB,47.345454545454544
139,neutral,sadness,sadness,distance,GaussianNB,33.96363636363637
140,neutral,sadness,neutral_sadness,distance,GaussianNB,45.67272727272727
141,sadness,neutral,neutral,distance,GaussianNB,36.72727272727273
142,sadness,neutral,sadness,distance,GaussianNB,30.10909090909091
143,sadness,neutral,neutral_sadness,distance,GaussianNB,37.23636363636364
144,sadness,sadness,neutral,distance,GaussianNB,76.21818181818182
145,sadness,sadness,sadness,distance,GaussianNB,74.25454545454545
146,sadness,sadness,neutral_sadness,distance,GaussianNB,77.45454545454545
147,neutral_sadness,neutral_sadness,neutral,distance,GaussianNB,94.5090909090909
148,neutral_sadness,neutral_sadness,sadness,distance,GaussianNB,91.81818181818181
149,neutral_sadness,neutral_sadness,neutral_sadness,distance,GaussianNB,95.60000000000001
150,neutral,neutral,neutral,distance,BaggingClassifier,88.0
151,neutral,neutral,sadness,distance,BaggingClassifier,82.32727272727271
152,neutral,neutral,neutral_sadness,distance,BaggingClassifier,87.92727272727272
153,neutral,sadness,neutral,distance,BaggingClassifier,66.76363636363637
154,neutral,sadness,sadness,distance,BaggingClassifier,55.70909090909091
155,neutral,sadness,neutral_sadness,distance,BaggingClassifier,65.16363636363637
156,sadness,neutral,neutral,distance,BaggingClassifier,56.29090909090909
157,sadness,neutral,sadness,distance,BaggingClassifier,48.87272727272727
158,sadness,neutral,neutral_sadness,distance,BaggingClassifier,57.381818181818176
159,sadness,sadness,neutral,distance,BaggingClassifier,92.65454545454544
160,sadness,sadness,sadness,distance,BaggingClassifier,90.10909090909091
161,sadness,sadness,neutral_sadness,distance,BaggingClassifier,93.89090909090909
162,neutral_sadness,neutral_sadness,neutral,distance,BaggingClassifier,95.01818181818182
163,neutral_sadness,neutral_sadness,sadness,distance,BaggingClassifier,91.12727272727274
164,neutral_sadness,neutral_sadness,neutral_sadness,distance,BaggingClassifier,94.25454545454545
165,neutral,neutral,neutral,distance,RandomForestClassifier,95.12727272727273
166,neutral,neutral,sadness,distance,RandomForestClassifier,92.65454545454544
167,neutral,neutral,neutral_sadness,distance,RandomForestClassifier,96.43636363636364
168,neutral,sadness,neutral,distance,RandomForestClassifier,83.12727272727273
169,neutral,sadness,sadness,distance,RandomForestClassifier,75.49090909090908
170,neutral,sadness,neutral_sadness,distance,RandomForestClassifier,86.39999999999999
171,sadness,neutral,neutral,distance,RandomForestClassifier,76.29090909090908
172,sadness,neutral,sadness,distance,RandomForestClassifier,67.78181818181818
173,sadness,neutral,neutral_sadness,distance,RandomForestClassifier,77.16363636363636
174,sadness,sadness,neutral,distance,RandomForestClassifier,98.39999999999999
175,sadness,sadness,sadness,distance,RandomForestClassifier,97.81818181818181
176,sadness,sadness,neutral_sadness,distance,RandomForestClassifier,99.56363636363636
177,neutral_sadness,neutral_sadness,neutral,distance,RandomForestClassifier,98.10909090909092
178,neutral_sadness,neutral_sadness,sadness,distance,RandomForestClassifier,95.85454545454544
179,neutral_sadness,neutral_sadness,neutral_sadness,distance,RandomForestClassifier,98.47272727272727
180,neutral,neutral,neutral,distance,GradientBoostingClassifier,69.81818181818181
181,neutral,neutral,sadness,distance,GradientBoostingClassifier,64.58181818181819
182,neutral,neutral,neutral_sadness,distance,GradientBoostingClassifier,77.30909090909091
183,neutral,sadness,neutral,distance,GradientBoostingClassifier,48.36363636363636
184,neutral,sadness,sadness,distance,GradientBoostingClassifier,44.07272727272726
185,neutral,sadness,neutral_sadness,distance,GradientBoostingClassifier,55.199999999999996
186,sadness,neutral,neutral,distance,GradientBoostingClassifier,34.90909090909091
187,sadness,neutral,sadness,distance,GradientBoostingClassifier,29.52727272727273
188,sadness,neutral,neutral_sadness,distance,GradientBoostingClassifier,37.67272727272727
189,sadness,sadness,neutral,distance,GradientBoostingClassifier,74.10909090909091
190,sadness,sadness,sadness,distance,GradientBoostingClassifier,70.76363636363637
191,sadness,sadness,neutral_sadness,distance,GradientBoostingClassifier,78.61818181818182
192,neutral_sadness,neutral_sadness,neutral,distance,GradientBoostingClassifier,83.52727272727273
193,neutral_sadness,neutral_sadness,sadness,distance,GradientBoostingClassifier,78.69090909090909
194,neutral_sadness,neutral_sadness,neutral_sadness,distance,GradientBoostingClassifier,83.78181818181818
195,neutral,neutral,neutral,distance,ExtraTreesClassifier,97.89090909090909
196,neutral,neutral,sadness,distance,ExtraTreesClassifier,94.39999999999999
197,neutral,neutral,neutral_sadness,distance,ExtraTreesClassifier,97.81818181818183
198,neutral,sadness,neutral,distance,ExtraTreesClassifier,90.25454545454545
199,neutral,sadness,sadness,distance,ExtraTreesClassifier,82.83636363636364
200,neutral,sadness,neutral_sadness,distance,ExtraTreesClassifier,92.29090909090908
201,sadness,neutral,neutral,distance,ExtraTreesClassifier,80.36363636363636
202,sadness,neutral,sadness,distance,ExtraTreesClassifier,72.65454545454546
203,sadness,neutral,neutral_sadness,distance,ExtraTreesClassifier,84.58181818181819
204,sadness,sadness,neutral,distance,ExtraTreesClassifier,99.2
205,sadness,sadness,sadness,distance,ExtraTreesClassifier,99.05454545454545
206,sadness,sadness,neutral_sadness,distance,ExtraTreesClassifier,99.92727272727274
207,neutral_sadness,neutral_sadness,neutral,distance,ExtraTreesClassifier,98.94545454545455
208,neutral_sadness,neutral_sadness,sadness,distance,ExtraTreesClassifier,97.49090909090908
209,neutral_sadness,neutral_sadness,neutral_sadness,distance,ExtraTreesClassifier,99.38181818181819
